date,open,high,low,close,volume,Name,SMA,WMA,Momentum,RSI,WilliamK,MACD,CCI,acc_dist,AD-:21,Arronup,AroonDown,AroonOscillator,ATR,Pivot_Point,Resistance_1,Resistance_2,Resistance_3,Support_1,Support_2,Support_3,SO%k,On_Balance_Volume,Price_Volume_Trend,y
5/19/2014,85.4071,86.7613,85.3328,86.3699,79439024,AAPL,84.73781,0.533935441,-1.4543,285.2175403,-10.14752016,4.559661289,37.21357579,35907439.83,10307138.13,64,8,56,1.4285,86.15466667,86.97653333,87.58316667,88.40503333,85.54803333,84.72616667,84.11953333,0.7260063,639869804,181726422.3,1
5/20/2014,86.3585,86.6285,85.8185,86.3871,58708986,AAPL,84.88496,0.533199002,-1.7686,239.9932969,-9.701589277,4.140095328,34.25213972,23715531.13,10916610.73,96,4,92,0.81,86.27803333,86.73756667,87.08803333,87.54756667,85.92756667,85.46803333,85.11756667,0.701975309,698578790,181738113.9,1
5/21/2014,86.2613,86.6713,86.0085,86.6156,49249914,AAPL,85.08467,0.532792085,-2.6171,238.0174652,-3.777449379,3.561675718,30.8281464,40972242.88,12282776.24,92,0,92,0.6628,86.4318,86.8551,87.0946,87.5179,86.1923,85.769,85.5295,0.915962583,747828704,181868383.4,1
5/22/2014,86.6571,87.1213,86.2999,86.7528,50218945,AAPL,85.3601,0.532850903,-3.104,239.3262175,-8.738232435,3.060774373,33.63257497,5160066.908,11959016.63,88,0,88,0.8214,86.72466667,87.14943333,87.54606667,87.97083333,86.32803333,85.90326667,85.50663333,0.5513757,798047649,181947930.7,1
5/23/2014,86.7499,87.8184,86.6385,87.7328,58052491,AAPL,85.7685,0.533736204,-3.0429,255.4026043,-1.741890847,2.621182626,43.81474256,49629246.27,13671300.26,96,0,96,1.1799,87.39656667,88.15463333,88.57646667,89.33453333,86.97473333,86.21666667,85.79483333,0.927451479,856100140,182603718.6,1
5/27/2014,87.9828,89.4085,87.9471,89.3756,87216605,AAPL,86.23707,0.535006668,-4.5528,144.5784753,-0.505819227,2.35810108,74.75472054,83289649.61,16835771.5,96,0,96,1.6757,88.9104,89.8737,90.3718,91.3351,88.4123,87.449,86.9509,0.977487341,943316745,184236852.9,1
5/28/2014,89.4313,89.9756,89.1113,89.1442,78921885,AAPL,86.66921,0.536034298,-4.3057,142.4796164,-11.75721922,2.204342253,85.7942516,-72913485.1,12756258.83,96,4,92,0.8643,89.41036667,89.70943333,90.27466667,90.57373333,88.84513333,88.54606667,87.98083333,0.038065487,864394860,184032518.3,-1
5/29/2014,89.6928,90.9813,89.6813,90.7685,94118633,AAPL,87.26221,0.538053057,-6.6514,119.239291,-2.634608956,1.965569456,106.7224706,63305640.53,15053958.54,96,0,96,1.8371,90.47703333,91.27276667,91.77703333,92.57276667,89.97276667,89.17703333,88.67276667,0.836307692,958513493,185747457.7,1
5/30/2014,91.1399,92.0242,89.8428,90.4285,141005137,AAPL,87.89335,0.540272071,-5.07,119.0686904,-17.49671053,1.648704647,105.3867935,-65286141.18,11402135,96,0,96,2.1814,90.76516667,91.68753333,92.94656667,93.86893333,89.50613333,88.58376667,87.32473333,0.268497295,817508356,185219281.6,-1
6/2/2014,90.5656,90.6899,88.9285,89.8071,92337903,AAPL,88.33821,0.541331896,-3.4372,137.4071758,-26.40756578,1.710855568,74.81410698,-220176.6734,10873848,96,0,96,1.7614,89.8085,90.6885,91.5699,92.4499,88.9271,88.0471,87.1657,0.498807767,725170453,184584760.7,-1
6/3/2014,89.7799,91.2485,89.7499,91.0771,73231620,AAPL,88.80893,0.542556048,-4.69,130.606143,-11.28077468,1.972027203,89.13003544,56480119.04,12946860.74,92,0,92,1.4986,90.69183333,91.63376667,92.19043333,93.13236667,90.13516667,89.19323333,88.63656667,0.885626585,798402073,185620359.9,1
6/4/2014,91.0628,92.5556,90.8728,92.1171,83870521,AAPL,89.38193,0.544395708,-5.5015,126.2990135,-4.912009499,2.32635235,106.3000538,40160961.39,14183865.56,88,32,56,1.6828,91.8485,92.8242,93.5313,94.507,91.1414,90.1657,89.4586,0.739422391,882272594,186578068.7,1
